project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
adoctor,archived,,,,,,,0,
aether,archived,,,,,,,0,
boaviztapi,approved+tested,,,,,,,0,
camunda carbon reductor,approved+tested,,,,,,,0,
carbon aware keda operator,archived,,,,,,,0,
carbon aware sdk,approved+tested,,,,,,,0,
carbon-aware-computing.com,approved+tested,,,,,,,0,
carbondb,approved+tested,,,,,,,0,
clever,archived,,,,,,,0,
cloud carbon footprint,approved+tested,,,,,,,0,
cloud energy,approved+tested,,,,,,,0,
co2.js,approved+tested,,,,,,,0,
codecarbon,approved+tested,,,,,,,0,
coppers,archived,,,,,,,0,
cpu energy meter,archived,,,,,,,0,
eco ci,approved+tested,,,,,,,0,
ecograder,approved+tested,,,,,,,0,
experiment-impact-tracker,archive,,,,,,,0,
green cost explorer for aws,archived,,,,,,,0,
green metrics tool,approved+tested,,,,,,,0,
greenit-analysis,approved+tested,,,,,,,0,
greenspector studio,approved+tested,,,,,,,0,
karpenter,approved+tested,,,,,,,0,
keda,approved+tested,,,,,,,0,
kepler,approved+tested,,,,,,,0,
kube-green,approved+tested,,,,,,,0,
li10 for aws,approved+tested,,,,,,,0,
oaklean,approved+tested,,,,,,,0,
power hog,approved+tested,,,,,,,0,
scaphandre,approved+tested,,,,,,,0,
